"기본항목별",1970,2013,2014,2015
"출생아수(명)",1006645,436455,435435,438420
"자연증가건수(명)",748056,170198,167743,162525
"조출생률(천명당)",31.2,8.6,8.6,8.6
"자연증가율(천명당)",23.2,3.4,3.3,3.2
"합계출산율(명)",4.530,1.187,1.205,1.239
"출생성비(명)",109.5,105.3,105.3,105.3
